intervention_id,name,itype,source,organism,lifespan_effect_pct,linked_gene_ids,url,n_experiments
DRUGAGE:7_8_dihydroxyflavone:caenorhabditis_elegans,"7,8-Dihydroxyflavone",drug,DrugAge,Caenorhabditis elegans,0.145,,https://genomics.senescence.info/drugs/,4
DRUGAGE:7_cyclopentyl_5__4_phenoxy_phenyl_7h_pyrrolo_2_3_d_pyrimidin_4_ylamine:caenorhabditis_elegans,"7-cyclopentyl-5-(4-phenoxy)phenyl-7H-pyrrolo[2,3-d]pyrimidin-4-ylamine",drug,DrugAge,Caenorhabditis elegans,11.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:7_methyl_dehydrosilybin:caenorhabditis_elegans,7-methyl-Dehydrosilybin,drug,DrugAge,Caenorhabditis elegans,-9.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:7_methylxanthine:caenorhabditis_elegans,7-methylxanthine,drug,DrugAge,Caenorhabditis elegans,8.41,,https://genomics.senescence.info/drugs/,1
DRUGAGE:78c__cd38_inhibitor:mus_musculus,78c (CD38 inhibitor),drug,DrugAge,Mus musculus,17.0,,https://genomics.senescence.info/drugs/,2
DRUGAGE:aa26_3:caenorhabditis_elegans,AA26-3,drug,DrugAge,Caenorhabditis elegans,-15.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aa26_7:caenorhabditis_elegans,AA26-7,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aa26_8:caenorhabditis_elegans,AA26-8,drug,DrugAge,Caenorhabditis elegans,-36.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aa26_9:caenorhabditis_elegans,AA26-9,drug,DrugAge,Caenorhabditis elegans,-12.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aa39_2:caenorhabditis_elegans,AA39-2,drug,DrugAge,Caenorhabditis elegans,-33.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aa39_3:caenorhabditis_elegans,AA39-3,drug,DrugAge,Caenorhabditis elegans,-37.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aa74_1:caenorhabditis_elegans,AA74-1,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc101:caenorhabditis_elegans,ABC101,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc16:caenorhabditis_elegans,ABC16,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc23:caenorhabditis_elegans,ABC23,drug,DrugAge,Caenorhabditis elegans,35.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc26:caenorhabditis_elegans,ABC26,drug,DrugAge,Caenorhabditis elegans,22.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc28:caenorhabditis_elegans,ABC28,drug,DrugAge,Caenorhabditis elegans,29.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc30:caenorhabditis_elegans,ABC30,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc32:caenorhabditis_elegans,ABC32,drug,DrugAge,Caenorhabditis elegans,-23.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc35:caenorhabditis_elegans,ABC35,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc36:caenorhabditis_elegans,ABC36,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc37:caenorhabditis_elegans,ABC37,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc44:caenorhabditis_elegans,ABC44,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc45:caenorhabditis_elegans,ABC45,drug,DrugAge,Caenorhabditis elegans,-20.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc5:caenorhabditis_elegans,ABC5,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc52:caenorhabditis_elegans,ABC52,drug,DrugAge,Caenorhabditis elegans,14.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc53:caenorhabditis_elegans,ABC53,drug,DrugAge,Caenorhabditis elegans,15.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc63:caenorhabditis_elegans,ABC63,drug,DrugAge,Caenorhabditis elegans,28.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc84:caenorhabditis_elegans,ABC84,drug,DrugAge,Caenorhabditis elegans,-10.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc90:caenorhabditis_elegans,ABC90,drug,DrugAge,Caenorhabditis elegans,-22.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc91:caenorhabditis_elegans,ABC91,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc92:caenorhabditis_elegans,ABC92,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abc99:caenorhabditis_elegans,ABC99,drug,DrugAge,Caenorhabditis elegans,-46.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abl127:caenorhabditis_elegans,ABL127,drug,DrugAge,Caenorhabditis elegans,-13.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:abl303:caenorhabditis_elegans,ABL303,drug,DrugAge,Caenorhabditis elegans,-12.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aeg_3482:caenorhabditis_elegans,AEG 3482,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:ag_490:drosophila_melanogaster,AG-490,drug,DrugAge,Drosophila melanogaster,17.5,,https://genomics.senescence.info/drugs/,1
DRUGAGE:amn082:caenorhabditis_elegans,AMN082,drug,DrugAge,Caenorhabditis elegans,8.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aphs:drosophila_melanogaster,APHS,drug,DrugAge,Drosophila melanogaster,9.6,,https://genomics.senescence.info/drugs/,1
DRUGAGE:au701:drosophila_melanogaster,AU701,drug,DrugAge,Drosophila melanogaster,11.4,,https://genomics.senescence.info/drugs/,3
DRUGAGE:azd2281:caenorhabditis_elegans,AZD2281,drug,DrugAge,Caenorhabditis elegans,28.94,,https://genomics.senescence.info/drugs/,1
DRUGAGE:acacetin_7_o_alpha_l_rhamnopyranosyl__1_2__beta_d_xylopyranoside:caenorhabditis_elegans,Acacetin 7-O-alpha-l-rhamnopyranosyl (1_2) beta-D-xylopyranoside,drug,DrugAge,Caenorhabditis elegans,17.0,,https://genomics.senescence.info/drugs/,5
DRUGAGE:acanthopanax_sessiliflorus_extract:caenorhabditis_elegans,Acanthopanax sessiliflorus extract,drug,DrugAge,Caenorhabditis elegans,18.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:acanthophora_spicifera_extract:brachionus_manjavacas,Acanthophora spicifera extract,drug,DrugAge,Brachionus manjavacas,14.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:acarbose:mus_musculus,Acarbose,drug,ITP,Mus musculus,8.5,,https://genomics.senescence.info/drugs/,10
DRUGAGE:acetaminophen:caenorhabditis_elegans,Acetaminophen,drug,DrugAge,Caenorhabditis elegans,48.6,,https://genomics.senescence.info/drugs/,1
DRUGAGE:acetaminophen:drosophila_melanogaster,Acetaminophen,drug,DrugAge,Drosophila melanogaster,20.0,,https://genomics.senescence.info/drugs/,2
DRUGAGE:acetaminophen:mus_musculus,Acetaminophen,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:acetazolamide:drosophila_melanogaster,Acetazolamide,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:acetic_acid:caenorhabditis_elegans,Acetic Acid,drug,DrugAge,Caenorhabditis elegans,23.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:acivicin:caenorhabditis_elegans,Acivicin,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:agmatine:caenorhabditis_elegans,Agmatine,drug,DrugAge,Caenorhabditis elegans,-2.0,,https://genomics.senescence.info/drugs/,4
DRUGAGE:agmatine:drosophila_melanogaster,Agmatine,drug,DrugAge,Drosophila melanogaster,4.8,,https://genomics.senescence.info/drugs/,3
DRUGAGE:agrimonia_procera_extract:caenorhabditis_elegans,Agrimonia procera extract,drug,DrugAge,Caenorhabditis elegans,8.1,,https://genomics.senescence.info/drugs/,3
DRUGAGE:alanine:caenorhabditis_elegans,Alanine,drug,DrugAge,Caenorhabditis elegans,9.5,,https://genomics.senescence.info/drugs/,3
DRUGAGE:allantoin:caenorhabditis_elegans,Allantoin,drug,DrugAge,Caenorhabditis elegans,21.75,,https://genomics.senescence.info/drugs/,2
DRUGAGE:allantoin:drosophila_melanogaster,Allantoin,drug,DrugAge,Drosophila melanogaster,15.0,,https://genomics.senescence.info/drugs/,1
DRUGAGE:alln:caenorhabditis_elegans,Alln,drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,2
DRUGAGE:alln:drosophila_melanogaster,Alln,drug,DrugAge,Drosophila melanogaster,0.22,,https://genomics.senescence.info/drugs/,3
DRUGAGE:alln_ii:caenorhabditis_elegans,Alln II,drug,DrugAge,Caenorhabditis elegans,-0.87,,https://genomics.senescence.info/drugs/,2
DRUGAGE:alpelisib:mus_musculus,Alpelisib,drug,DrugAge,Mus musculus,10.5,,https://genomics.senescence.info/drugs/,2
DRUGAGE:alpha_beta_trehalose:caenorhabditis_elegans,"Alpha,beta-Trehalose",drug,DrugAge,Caenorhabditis elegans,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:alpha_ketoglutarate:caenorhabditis_briggsae,Alpha-ketoglutarate,drug,DrugAge,Caenorhabditis briggsae,,,https://genomics.senescence.info/drugs/,3
DRUGAGE:alpha_ketoglutarate:caenorhabditis_elegans,Alpha-ketoglutarate,drug,DrugAge,Caenorhabditis elegans,22.2,,https://genomics.senescence.info/drugs/,7
DRUGAGE:alpha_ketoglutarate:drosophila_melanogaster,Alpha-ketoglutarate,drug,DrugAge,Drosophila melanogaster,8.14,,https://genomics.senescence.info/drugs/,2
DRUGAGE:alpha_ketoglutarate:mus_musculus,Alpha-ketoglutarate,drug,ITP,Mus musculus,4.5,,https://genomics.senescence.info/drugs/,6
DRUGAGE:alpha_lipoic_acid:caenorhabditis_elegans,Alpha-lipoic acid,drug,DrugAge,Caenorhabditis elegans,22.6,,https://genomics.senescence.info/drugs/,2
DRUGAGE:alpha_lipoic_acid:drosophila_melanogaster,Alpha-lipoic acid,drug,DrugAge,Drosophila melanogaster,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:alpha_lipoic_acid:mus_musculus,Alpha-lipoic acid,drug,DrugAge,Mus musculus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:alpha_lipoic_acid:rattus_norvegicus,Alpha-lipoic acid,drug,DrugAge,Rattus norvegicus,,,https://genomics.senescence.info/drugs/,1
DRUGAGE:alpha_santalol:caenorhabditis_elegans,Alpha-santalol,drug,DrugAge,Caenorhabditis elegans,14.175,,https://genomics.senescence.info/drugs/,6
DRUGAGE:alpha_ketoisovalerate:caenorhabditis_elegans,Alpha‐ketoisovalerate,drug,DrugAge,Caenorhabditis elegans,35.02,,https://genomics.senescence.info/drugs/,1
DRUGAGE:alpha_keto_beta_methylvalerate:caenorhabditis_elegans,Alpha‐keto‐beta‐methylvalerate,drug,DrugAge,Caenorhabditis elegans,20.77,,https://genomics.senescence.info/drugs/,1
DRUGAGE:alpha_linolenic_acid:caenorhabditis_elegans,Alpha‐linolenic acid,drug,DrugAge,Caenorhabditis elegans,15.13,,https://genomics.senescence.info/drugs/,3
DRUGAGE:alsterpaullone:caenorhabditis_elegans,Alsterpaullone,drug,DrugAge,Caenorhabditis elegans,12.55,,https://genomics.senescence.info/drugs/,1
DRUGAGE:aluminium_chloride:drosophila_melanogaster,Aluminium chloride,drug,DrugAge,Drosophila melanogaster,-11.64,,https://genomics.senescence.info/drugs/,6
DRUGAGE:aluminium_chloride:mus_musculus,Aluminium chloride,drug,DrugAge,Mus musculus,-7.0,,https://genomics.senescence.info/drugs/,1
